Timestamp,F3 Value,F3 Quality,FC5 Value,5C5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,X Value,Y Value,Z Value
2016-12-20 20:49:08.394000,831,0,153,0,-656,0,992,0,346,0,35,0,590,0,61,0,116,0,186,0,-122,0,803,0,236,0,1,2,?
2016-12-20 20:49:08.401000,814,0,135,0,-679,0,932,0,340,0,29,0,569,0,59,0,112,0,165,0,-140,0,783,0,220,0,1,2,?
2016-12-20 20:49:08.409000,821,0,143,0,-688,0,941,0,331,0,48,0,579,0,63,0,116,0,162,0,-144,0,785,0,218,0,1,2,?
2016-12-20 20:49:08.416000,823,0,141,0,-685,0,960,0,333,0,46,0,601,0,68,0,105,0,175,0,-150,0,787,0,218,0,1,2,?
2016-12-20 20:49:08.424000,810,0,123,0,-690,0,932,0,348,0,32,0,575,0,66,0,98,0,177,0,-158,0,781,0,210,0,1,2,?
2016-12-20 20:49:08.432000,813,0,135,0,-691,0,928,0,346,0,49,0,565,0,60,0,117,0,190,0,-151,0,787,0,212,0,1,2,?
2016-12-20 20:49:08.440000,815,0,147,0,-689,0,934,0,331,0,64,0,591,0,64,0,126,0,200,0,-146,0,792,0,212,0,1,2,?
2016-12-20 20:49:08.449000,799,0,134,0,-691,0,924,0,341,0,55,0,585,0,69,0,119,0,192,0,-152,0,782,0,208,0,1,2,?
2016-12-20 20:49:08.456000,801,0,137,0,-689,0,951,0,357,0,53,0,562,0,63,0,116,0,192,0,-154,0,783,0,215,0,1,2,?
2016-12-20 20:49:08.463000,814,0,147,0,-682,0,967,0,349,0,58,0,569,0,62,0,115,0,197,0,-152,0,785,0,213,0,1,2,?
2016-12-20 20:49:08.471000,817,0,145,0,-682,0,939,0,341,0,62,0,584,0,68,0,127,0,196,0,-148,0,784,0,213,0,0,3,?
2016-12-20 20:49:08.479000,817,0,149,0,-687,0,926,0,344,0,58,0,590,0,66,0,134,0,188,0,-146,0,781,0,219,0,0,3,?
2016-12-20 20:49:08.488000,821,0,157,0,-687,0,940,0,345,0,40,0,596,0,59,0,117,0,185,0,-141,0,780,0,220,0,0,3,?
2016-12-20 20:49:08.496000,824,0,160,0,-678,0,956,0,347,0,39,0,603,0,67,0,117,0,194,0,-123,0,794,0,226,0,0,2,?
2016-12-20 20:49:08.504000,814,0,157,0,-678,0,936,0,345,0,40,0,577,0,70,0,121,0,186,0,-126,0,794,0,223,0,0,3,?
2016-12-20 20:49:08.511000,808,0,152,0,-680,0,916,0,343,0,28,0,556,0,58,0,109,0,174,0,-144,0,780,0,213,0,0,3,?
2016-12-20 20:49:08.519000,820,0,156,0,-661,0,946,0,351,0,33,0,581,0,57,0,120,0,186,0,-130,0,788,0,219,0,0,3,?
2016-12-20 20:49:08.527000,824,4632,157,0,-652,0,962,0,346,0,43,0,587,0,67,0,133,0,198,0,-115,0,792,0,227,0,0,2,?
2016-12-20 20:49:08.535000,809,4632,147,6560,-677,0,927,0,335,0,32,0,559,0,63,0,105,0,194,0,-130,0,775,0,212,0,0,2,?
2016-12-20 20:49:08.543000,807,4632,141,6560,-690,0,916,0,340,0,26,0,561,0,55,0,93,0,198,0,-133,0,765,0,197,0,0,2,?
2016-12-20 20:49:08.550000,813,4632,151,6560,-674,7400,947,0,346,0,33,0,575,0,58,0,98,0,207,0,-118,0,765,0,204,0,0,2,?
2016-12-20 20:49:08.558000,802,4632,153,6560,-677,7400,943,7208,340,0,29,0,560,0,54,0,90,0,201,0,-130,0,757,0,207,0,0,2,?
2016-12-20 20:49:08.566000,803,4632,136,6560,-687,7400,928,7208,344,1440,36,0,567,0,56,0,114,0,202,0,-142,0,774,0,206,0,0,3,?
2016-12-20 20:49:08.575000,803,4632,121,6560,-698,7400,898,7208,343,1440,33,7752,571,0,59,0,116,0,188,0,-147,0,777,0,194,0,0,2,?
2016-12-20 20:49:08.582000,783,4632,114,6560,-723,7400,831,7208,324,1440,-2,7752,531,4592,41,0,58,0,157,0,-168,0,740,0,168,0,-1,2,?
2016-12-20 20:49:08.590000,790,4632,114,6560,-723,7400,848,7208,335,1440,1,7752,525,4592,38,6312,60,0,170,0,-163,0,743,0,177,0,-1,2,?
2016-12-20 20:49:08.597000,831,4632,138,6560,-684,7400,953,7208,359,1440,46,7752,576,4592,62,6312,133,5552,206,0,-126,0,790,0,221,0,0,2,?
2016-12-20 20:49:08.605000,839,4632,157,6560,-676,7400,956,7208,351,1440,49,7752,593,4592,69,6312,140,5552,199,4168,-123,0,796,0,229,0,-1,2,?
2016-12-20 20:49:08.613000,818,4632,142,6560,-703,7400,869,7208,336,1440,19,7752,561,4592,56,6312,96,5552,178,4168,-147,5432,766,0,201,0,0,2,?
2016-12-20 20:49:08.621000,829,4632,140,6560,-693,7400,878,7208,343,1440,24,7752,560,4592,60,6312,114,5552,209,4168,-132,5432,776,5312,207,0,-1,2,?
2016-12-20 20:49:08.629000,836,4632,158,6560,-674,7400,926,7208,356,1440,39,7752,578,4592,67,6312,142,5552,231,4168,-112,5432,793,5312,222,5336,0,2,?
2016-12-20 20:49:08.636000,818,4632,146,6560,-688,7400,894,7208,355,1440,28,7752,564,4592,60,6312,112,5552,209,4160,-133,5432,777,5312,205,5336,0,2,?
2016-12-20 20:49:08.644000,823,4632,132,6560,-689,7400,879,7208,348,1440,32,7752,568,4592,61,6312,107,5552,207,4160,-142,5408,784,5312,209,5336,0,2,?
2016-12-20 20:49:08.652000,833,4632,132,6560,-685,7400,893,7208,342,1440,48,7752,598,4592,67,6312,136,5552,210,4160,-134,5408,803,5312,224,5336,0,2,?
2016-12-20 20:49:08.660000,800,4632,109,6560,-731,7400,840,7208,341,1440,41,7752,593,4592,59,6312,101,5552,167,4160,-166,5408,767,5312,190,5336,0,2,?
2016-12-20 20:49:08.668000,773,4632,97,6560,-751,7400,824,7208,341,1440,29,7752,581,4592,52,6312,59,5552,139,4160,-191,5408,736,5312,165,5336,0,2,?
2016-12-20 20:49:08.675000,798,4632,123,6560,-702,7400,900,7208,344,1440,36,7752,596,4592,63,6312,92,5552,170,4160,-159,5408,770,5312,193,5336,-1,2,?
