Timestamp,F3 Value,F3 Quality,FC5 Value,5C5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,X Value,Y Value,Z Value
2016-12-20 22:23:16.898000,401,0,144,0,-809,0,670,0,951,0,89,0,591,0,-52,0,68,0,191,0,-146,0,752,0,85,0,0,0,?
2016-12-20 22:23:16.905000,399,0,138,0,-824,0,658,0,945,0,88,0,586,0,-40,0,68,0,201,0,-163,0,741,0,65,0,1,0,?
2016-12-20 22:23:16.913000,399,0,142,0,-819,0,645,0,944,0,94,0,593,0,-41,0,70,0,218,0,-176,0,750,0,58,0,0,0,?
2016-12-20 22:23:16.921000,403,0,158,0,-796,0,650,0,947,0,97,0,602,0,-55,0,78,0,227,0,-170,0,765,0,74,0,0,0,?
2016-12-20 22:23:16.929000,402,0,167,0,-785,0,636,0,946,0,84,0,599,0,-52,0,95,0,232,0,-159,0,767,0,87,0,0,0,?
2016-12-20 22:23:16.936000,398,0,167,0,-791,0,637,0,942,0,67,0,594,0,-41,0,110,0,244,0,-147,0,781,0,97,0,0,1,?
2016-12-20 22:23:16.944000,404,0,161,0,-800,0,659,0,948,0,70,0,595,0,-49,0,127,0,261,0,-130,0,796,0,114,0,0,0,?
2016-12-20 22:23:16.952000,412,0,156,0,-804,0,674,0,953,0,88,0,596,0,-55,0,128,0,263,0,-119,0,793,0,111,0,0,1,?
2016-12-20 22:23:16.960000,416,0,156,0,-811,0,670,0,949,0,96,0,595,0,-48,0,98,0,265,0,-115,0,796,0,110,0,0,0,?
2016-12-20 22:23:16.968000,421,2128,158,0,-814,0,616,0,951,0,90,0,594,0,-47,0,90,0,281,0,-105,0,807,0,118,0,0,0,?
2016-12-20 22:23:16.976000,425,2128,162,6616,-805,0,612,0,950,0,87,0,595,0,-51,0,116,0,286,0,-104,0,799,0,110,0,0,0,?
2016-12-20 22:23:16.983000,438,2128,170,6616,-795,0,673,0,946,0,93,0,595,0,-34,0,114,0,272,0,-112,0,787,0,106,0,0,0,?
2016-12-20 22:23:16.991000,461,2128,172,6616,-783,6952,683,0,945,0,89,0,590,0,-26,0,70,0,244,0,-117,0,777,0,106,0,0,0,?
2016-12-20 22:23:16.999000,470,2128,173,6616,-777,6952,662,7256,942,0,67,0,586,0,-42,0,39,0,222,0,-108,0,768,0,108,0,0,1,?
2016-12-20 22:23:17.007000,475,2128,173,6616,-788,6952,653,7256,944,24,63,0,590,0,-49,0,44,0,235,0,-91,0,776,0,128,0,0,1,?
2016-12-20 22:23:17.015000,481,2128,156,6616,-787,6952,656,7256,943,24,88,6592,596,0,-45,0,82,0,277,0,-79,0,798,0,145,0,0,1,?
2016-12-20 22:23:17.022000,465,2128,140,6616,-766,6952,678,7256,943,24,96,6592,591,352,-48,0,111,0,298,0,-71,0,808,0,138,0,0,1,?
2016-12-20 22:23:17.030000,452,2128,144,6616,-771,6952,672,7256,949,24,90,6592,588,352,-48,16,100,0,283,0,-74,0,803,0,129,0,0,0,?
2016-12-20 22:23:17.038000,455,2128,158,6616,-792,6952,633,7256,948,24,95,6592,596,352,-46,16,96,5432,268,0,-89,0,794,0,127,0,0,0,?
2016-12-20 22:23:17.046000,447,2128,156,6616,-786,6952,623,7256,941,24,94,6592,596,352,-46,16,99,5432,261,6352,-112,0,781,0,112,0,0,1,?
2016-12-20 22:23:17.054000,432,2128,138,6616,-767,6952,662,7256,939,24,87,6592,589,352,-49,16,79,5432,253,6352,-123,6040,773,0,103,0,0,1,?
2016-12-20 22:23:17.062000,433,2128,134,6616,-765,6952,713,7256,940,24,91,6592,589,352,-52,16,68,5432,239,6352,-117,6040,769,4824,105,0,0,1,?
2016-12-20 22:23:17.069000,448,2128,141,6616,-771,6952,726,7256,940,24,84,6592,591,352,-50,16,79,5432,235,6352,-112,6040,766,4824,99,5280,0,1,?
2016-12-20 22:23:17.077000,463,2128,145,6616,-778,6952,686,7256,938,24,79,6592,589,352,-48,16,87,5432,256,6360,-111,6040,777,4824,92,5280,0,0,?
2016-12-20 22:23:17.085000,459,2128,137,6616,-788,6952,647,7256,942,24,88,6592,594,352,-46,16,96,5432,278,6360,-106,6016,791,4824,102,5280,1,0,?
2016-12-20 22:23:17.093000,433,2128,130,6616,-788,6952,660,7256,945,24,91,6592,597,352,-44,16,103,5432,273,6360,-98,6016,790,4824,109,5280,1,0,?
2016-12-20 22:23:17.101000,433,2128,142,6616,-778,6952,677,7256,940,24,93,6592,595,352,-48,16,99,5432,271,6360,-92,6016,788,4824,100,5280,1,0,?
2016-12-20 22:23:17.108000,453,2128,152,6616,-779,6952,650,7256,939,24,89,6592,596,352,-53,16,100,5432,273,6360,-99,6016,787,4824,96,5280,1,0,?
2016-12-20 22:23:17.116000,448,2128,146,6616,-784,6952,627,7256,938,24,71,6592,594,352,-45,16,105,5432,254,6360,-115,6016,776,4824,98,5280,1,0,?
2016-12-20 22:23:17.124000,442,2128,148,6616,-784,6952,664,7256,941,24,68,6592,592,352,-29,16,94,5432,235,6360,-121,6016,769,4824,97,5280,1,0,?
2016-12-20 22:23:17.132000,445,2128,156,6616,-791,6952,706,7256,945,24,90,6592,593,352,-35,16,92,5432,249,6360,-111,6016,777,4824,101,5280,1,0,?
2016-12-20 22:23:17.140000,442,2128,149,6616,-797,6952,681,7256,940,24,96,6592,596,352,-38,16,107,5432,269,6360,-92,6016,795,4824,109,5280,1,0,?
2016-12-20 22:23:17.148000,443,2128,138,6616,-795,6952,656,7256,941,24,88,6592,596,352,-32,16,106,5432,276,6360,-74,6016,802,4824,116,5280,1,0,?
2016-12-20 22:23:17.155000,452,2128,147,6616,-798,6952,666,7256,943,24,91,6592,593,352,-39,16,97,5432,288,6360,-74,6016,794,4824,122,5280,1,0,?
2016-12-20 22:23:17.163000,464,2128,163,6616,-797,6952,676,7256,940,24,94,6592,593,352,-39,16,107,5432,301,6360,-74,6016,799,4824,127,5280,1,0,?
2016-12-20 22:23:17.171000,481,2128,170,6616,-783,6952,668,7256,939,24,85,6592,595,352,-33,16,111,5432,289,6360,-67,6016,809,4824,133,5280,1,0,?
2016-12-20 22:23:17.179000,481,2128,164,6616,-782,6952,659,7256,939,24,84,6592,593,352,-38,16,92,5432,265,6360,-80,6016,797,4824,127,5280,1,0,?
2016-12-20 22:23:17.187000,474,2128,155,6616,-791,6952,662,7256,943,24,87,6592,592,352,-47,16,85,5432,261,6360,-101,6016,787,4824,118,5280,0,0,?
2016-12-20 22:23:17.194000,484,2128,160,6616,-787,6952,656,7256,943,24,72,6592,597,352,-45,16,95,5432,270,6360,-93,6016,790,4824,121,5280,0,0,?
2016-12-20 22:23:17.202000,488,2128,160,6616,-783,6952,646,7256,939,24,69,6592,595,352,-34,16,89,5432,271,6360,-86,6016,791,4824,124,5280,0,0,?
2016-12-20 22:23:17.210000,499,2128,148,6616,-791,6952,669,7256,943,24,79,6592,590,352,-35,16,72,5432,268,6360,-106,6016,793,4824,115,5280,0,0,?
2016-12-20 22:23:17.218000,498,2128,146,6616,-793,6952,695,7256,939,24,74,6592,590,352,-40,16,77,5432,270,6360,-109,6016,794,4824,106,5280,0,0,?
2016-12-20 22:23:17.226000,498,2128,152,6616,-793,6952,674,7256,935,24,69,6592,590,352,-36,16,90,5432,265,6360,-91,6016,784,4824,109,5280,0,0,?
